shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,dist_from_previous
R1_out_KanTer_SAS, 38.352017, -81.635297, 1, 0.00, 0.000
R1_out_KanTer_SAS, 38.351682, -81.635744, 2, 0.03, 0.034
R1_out_KanTer_SAS, 38.351435, -81.636205, 3, 0.06, 0.030
R1_out_KanTer_SAS, 38.351294, -81.636506, 4, 0.08, 0.019
R1_out_KanTer_SAS, 38.351269, -81.636647, 5, 0.09, 0.008
R1_out_KanTer_SAS, 38.352028, -81.637487, 6, 0.16, 0.069
R1_out_KanTer_SAS, 38.353172, -81.638925, 7, 0.27, 0.111
R1_out_KanTer_SAS, 38.354335, -81.640473, 8, 0.39, 0.116
R1_out_KanTer_SAS, 38.355539, -81.642107, 9, 0.51, 0.122
R1_out_KanTer_SAS, 38.356270, -81.642820, 10, 0.57, 0.064
R1_out_KanTer_SAS, 38.357024, -81.643484, 11, 0.64, 0.063
R1_out_KanTer_SAS, 38.357907, -81.644307, 12, 0.71, 0.076
R1_out_KanTer_SAS, 38.360122, -81.646074, 13, 0.89, 0.180
R1_out_KanTer_SAS, 38.361588, -81.647258, 14, 1.01, 0.120
R1_out_KanTer_SAS, 38.362346, -81.647874, 15, 1.07, 0.062
R1_out_KanTer_SAS, 38.361903, -81.648798, 16, 1.13, 0.059
R1_out_KanTer_SAS, 38.361984, -81.648888, 17, 1.14, 0.007
R1_out_KanTer_SAS, 38.362592, -81.650188, 18, 1.22, 0.082
R1_out_KanTer_SAS, 38.364573, -81.654332, 19, 1.49, 0.263
R1_out_KanTer_SAS, 38.365450, -81.656148, 20, 1.60, 0.116
R1_out_KanTer_SAS, 38.366545, -81.658404, 21, 1.74, 0.144
R1_out_KanTer_SAS, 38.366916, -81.659306, 22, 1.80, 0.055
R1_out_KanTer_SAS, 38.366837, -81.659999, 23, 1.84, 0.038
R1_out_KanTer_SAS, 38.366898, -81.660228, 24, 1.85, 0.013
R1_out_KanTer_SAS, 38.366962, -81.660370, 25, 1.86, 0.009
R1_out_KanTer_SAS, 38.368535, -81.663725, 26, 2.07, 0.212
R1_out_KanTer_SAS, 38.369742, -81.666331, 27, 2.24, 0.164
R1_out_KanTer_SAS, 38.369303, -81.666676, 28, 2.27, 0.036
R1_out_KanTer_SAS, 38.368019, -81.667487, 29, 2.37, 0.099
R1_out_KanTer_SAS, 38.366621, -81.668333, 30, 2.48, 0.107
R1_out_KanTer_SAS, 38.365341, -81.669145, 31, 2.58, 0.099
R1_out_KanTer_SAS, 38.364550, -81.669608, 32, 2.64, 0.060
R1_out_KanTer_SAS, 38.363800, -81.670088, 33, 2.69, 0.058
R1_out_KanTer_SAS, 38.363711, -81.670151, 34, 2.70, 0.007
R1_out_KanTer_SAS, 38.363453, -81.670522, 35, 2.73, 0.027
R1_out_KanTer_SAS, 38.363351, -81.670979, 36, 2.75, 0.026
R1_out_KanTer_SAS, 38.363371, -81.671237, 37, 2.77, 0.014
R1_out_KanTer_SAS, 38.363919, -81.673244, 38, 2.88, 0.115
R1_out_KanTer_SAS, 38.365124, -81.677574, 39, 3.13, 0.249
R1_out_KanTer_SAS, 38.365709, -81.679535, 40, 3.25, 0.114
R1_out_KanTer_SAS, 38.366395, -81.681662, 41, 3.37, 0.125
R1_out_KanTer_SAS, 38.367038, -81.683665, 42, 3.49, 0.117
R1_out_KanTer_SAS, 38.367368, -81.684780, 43, 3.55, 0.065
R1_out_KanTer_SAS, 38.367760, -81.686815, 44, 3.67, 0.114
R1_out_KanTer_SAS, 38.368232, -81.689579, 45, 3.82, 0.154
R1_out_KanTer_SAS, 38.369146, -81.694916, 46, 4.12, 0.297
R1_out_KanTer_SAS, 38.369449, -81.696621, 47, 4.21, 0.095
R1_out_KanTer_SAS, 38.369422, -81.697111, 48, 4.24, 0.027
R1_out_KanTer_SAS, 38.369127, -81.697827, 49, 4.28, 0.044
R1_out_KanTer_SAS, 38.368456, -81.699185, 50, 4.37, 0.087
R1_out_KanTer_SAS, 38.366582, -81.703246, 51, 4.63, 0.256
R1_out_KanTer_SAS, 38.364279, -81.708216, 52, 4.94, 0.313
R1_out_KanTer_SAS, 38.364118, -81.708875, 53, 4.98, 0.037
R1_out_KanTer_SAS, 38.364224, -81.710502, 54, 5.07, 0.089
R1_out_KanTer_SAS, 38.364224, -81.711071, 55, 5.10, 0.031
R1_out_KanTer_SAS, 38.364054, -81.711800, 56, 5.14, 0.041
R1_out_KanTer_SAS, 38.363402, -81.713143, 57, 5.22, 0.086
R1_out_KanTer_SAS, 38.363142, -81.713696, 58, 5.26, 0.035
R1_out_KanTer_SAS, 38.362722, -81.714276, 59, 5.30, 0.043
R1_out_KanTer_SAS, 38.362079, -81.714800, 60, 5.35, 0.053
R1_out_KanTer_SAS, 38.361659, -81.715039, 61, 5.39, 0.032
R1_out_KanTer_SAS, 38.360882, -81.715517, 62, 5.44, 0.060
R1_out_KanTer_SAS, 38.360383, -81.715757, 63, 5.48, 0.037
R1_out_KanTer_SAS, 38.359972, -81.716132, 64, 5.52, 0.035
R1_out_KanTer_SAS, 38.359659, -81.716462, 65, 5.54, 0.028
R1_out_KanTer_SAS, 38.359248, -81.716962, 66, 5.58, 0.039
R1_out_KanTer_SAS, 38.358926, -81.717565, 67, 5.62, 0.040
R1_out_KanTer_SAS, 38.358657, -81.718215, 68, 5.66, 0.040
R1_out_KanTer_SAS, 38.358201, -81.719855, 69, 5.76, 0.094
R1_out_KanTer_SAS, 38.357905, -81.720592, 70, 5.80, 0.045
R1_out_KanTer_SAS, 38.356816, -81.723212, 71, 5.96, 0.161
R1_out_KanTer_SAS, 38.356101, -81.725307, 72, 6.09, 0.124
R1_out_KanTer_SAS, 38.355251, -81.727715, 73, 6.23, 0.143
R1_out_KanTer_SAS, 38.354912, -81.729457, 74, 6.33, 0.097
R1_out_KanTer_SAS, 38.354134, -81.733867, 75, 6.57, 0.245
R1_out_KanTer_SAS, 38.353901, -81.735303, 76, 6.65, 0.080
R1_out_KanTer_SAS, 38.353775, -81.738656, 77, 6.84, 0.182
R1_out_KanTer_SAS, 38.353739, -81.744057, 78, 7.13, 0.293
R1_out_KanTer_SAS, 38.353756, -81.745631, 79, 7.21, 0.085
R1_out_KanTer_SAS, 38.353890, -81.746551, 80, 7.27, 0.051
R1_out_KanTer_SAS, 38.354621, -81.748733, 81, 7.39, 0.129
R1_out_KanTer_SAS, 38.355608, -81.751276, 82, 7.55, 0.154
R1_out_KanTer_SAS, 38.356388, -81.752772, 83, 7.65, 0.097
R1_out_KanTer_SAS, 38.358045, -81.755599, 84, 7.84, 0.191
R1_out_KanTer_SAS, 38.358817, -81.756925, 85, 7.93, 0.090
R1_out_KanTer_SAS, 38.359818, -81.758128, 86, 8.02, 0.095
R1_out_KanTer_SAS, 38.361850, -81.759946, 87, 8.19, 0.171
R1_out_KanTer_SAS, 38.363720, -81.761654, 88, 8.35, 0.159
R1_out_KanTer_SAS, 38.367031, -81.764640, 89, 8.63, 0.280
R1_out_KanTer_SAS, 38.368746, -81.766261, 90, 8.78, 0.147
R1_out_KanTer_SAS, 38.369159, -81.766714, 91, 8.82, 0.038
R1_out_KanTer_SAS, 38.369727, -81.767464, 92, 8.87, 0.057
R1_out_KanTer_SAS, 38.371953, -81.771156, 93, 9.13, 0.253
R1_out_KanTer_SAS, 38.372367, -81.771955, 94, 9.18, 0.052
R1_out_KanTer_SAS, 38.373388, -81.774615, 95, 9.34, 0.161
R1_out_KanTer_SAS, 38.374213, -81.776705, 96, 9.47, 0.127
R1_out_KanTer_SAS, 38.374414, -81.777282, 97, 9.50, 0.034
R1_out_KanTer_SAS, 38.374712, -81.778497, 98, 9.57, 0.069
R1_out_KanTer_SAS, 38.374912, -81.779250, 99, 9.61, 0.043
R1_out_KanTer_SAS, 38.375115, -81.780119, 100, 9.66, 0.049
R1_out_KanTer_SAS, 38.375002, -81.780176, 101, 9.67, 0.008
R1_out_KanTer_SAS, 38.374722, -81.780463, 102, 9.69, 0.025
R1_out_KanTer_SAS, 38.374499, -81.781034, 103, 9.73, 0.035
R1_out_KanTer_SAS, 38.374414, -81.781320, 104, 9.75, 0.017
R1_out_KanTer_SAS, 38.374385, -81.781562, 105, 9.76, 0.013
R1_out_KanTer_SAS, 38.374548, -81.782975, 106, 9.84, 0.078
R1_out_KanTer_SAS, 38.374574, -81.784029, 107, 9.89, 0.057
R1_out_KanTer_SAS, 38.374578, -81.785416, 108, 9.97, 0.075
R1_out_KanTer_SAS, 38.374670, -81.786325, 109, 10.02, 0.050
R1_out_KanTer_SAS, 38.374969, -81.787681, 110, 10.10, 0.076
R1_out_KanTer_SAS, 38.375137, -81.789696, 111, 10.21, 0.110
R1_out_KanTer_SAS, 38.375302, -81.791879, 112, 10.32, 0.119
R1_out_KanTer_SAS, 38.375343, -81.793288, 113, 10.40, 0.077
R1_out_KanTer_SAS, 38.375292, -81.795117, 114, 10.50, 0.099
R1_out_KanTer_SAS, 38.375291, -81.795575, 115, 10.53, 0.025
R1_out_KanTer_SAS, 38.375361, -81.795954, 116, 10.55, 0.021
R1_out_KanTer_SAS, 38.375648, -81.796750, 117, 10.59, 0.048
R1_out_KanTer_SAS, 38.375837, -81.797641, 118, 10.64, 0.050
R1_out_KanTer_SAS, 38.376140, -81.799737, 119, 10.76, 0.116
R1_out_KanTer_SAS, 38.376363, -81.801936, 120, 10.88, 0.120
R1_out_KanTer_SAS, 38.376424, -81.802798, 121, 10.93, 0.047
R1_out_KanTer_SAS, 38.376926, -81.805571, 122, 11.08, 0.154
R1_out_KanTer_SAS, 38.377595, -81.809296, 123, 11.29, 0.207
R1_out_KanTer_SAS, 38.377703, -81.810292, 124, 11.34, 0.055
R1_out_KanTer_SAS, 38.377885, -81.811945, 125, 11.43, 0.091
R1_out_KanTer_SAS, 38.377987, -81.813088, 126, 11.50, 0.062
R1_out_KanTer_SAS, 38.377990, -81.813775, 127, 11.53, 0.037
R1_out_KanTer_SAS, 38.377824, -81.815166, 128, 11.61, 0.076
R1_out_KanTer_SAS, 38.377988, -81.815966, 129, 11.66, 0.045
R1_out_KanTer_SAS, 38.378554, -81.817883, 130, 11.77, 0.111
R1_out_KanTer_SAS, 38.378820, -81.818581, 131, 11.81, 0.042
R1_out_KanTer_SAS, 38.379275, -81.819447, 132, 11.87, 0.057
R1_out_KanTer_SAS, 38.379587, -81.820116, 133, 11.91, 0.042
R1_out_KanTer_SAS, 38.379880, -81.820697, 134, 11.94, 0.037
R1_out_KanTer_SAS, 38.380223, -81.821706, 135, 12.00, 0.060
R1_out_KanTer_SAS, 38.380357, -81.822079, 136, 12.03, 0.022
R1_out_KanTer_SAS, 38.380740, -81.823725, 137, 12.12, 0.093
R1_out_KanTer_SAS, 38.381018, -81.824830, 138, 12.18, 0.063
R1_out_KanTer_SAS, 38.381250, -81.825488, 139, 12.22, 0.039
R1_out_KanTer_SAS, 38.381327, -81.825640, 140, 12.23, 0.010
R1_out_KanTer_SAS, 38.383700, -81.825537, 141, 12.40, 0.164
R1_out_KanTer_SAS, 38.383780, -81.825728, 142, 12.41, 0.012
R1_out_KanTer_SAS, 38.384024, -81.826661, 143, 12.46, 0.053
R1_out_KanTer_SAS, 38.384653, -81.829069, 144, 12.60, 0.138
R1_out_KanTer_SAS, 38.385257, -81.831422, 145, 12.73, 0.134
R1_out_KanTer_SAS, 38.385561, -81.832617, 146, 12.80, 0.068
R1_out_KanTer_SAS, 38.385867, -81.833818, 147, 12.87, 0.069
R1_out_KanTer_SAS, 38.386167, -81.835093, 148, 12.94, 0.072
R1_out_KanTer_SAS, 38.385779, -81.835228, 149, 12.97, 0.028
R1_out_KanTer_SAS, 38.385864, -81.835530, 150, 12.99, 0.017
R1_out_KanTer_SAS, 38.386024, -81.835476, 151, 13.00, 0.011
